  0.100000000000E+02  0.101223511557E+06  0.101246488419E+06
  0.200000000000E+02  0.101209392685E+06  0.101260607290E+06
  0.300000000000E+02  0.101195275783E+06  0.101274724192E+06
  0.400000000000E+02  0.101181160850E+06  0.101288839124E+06
  0.500000000000E+02  0.101167047885E+06  0.101302952088E+06
  0.600000000000E+02  0.101152936888E+06  0.101317063083E+06
  0.700000000000E+02  0.101138827860E+06  0.101331172109E+06
  0.800000000000E+02  0.101124720799E+06  0.101345279167E+06
  0.900000000000E+02  0.101110615706E+06  0.101359384258E+06
  0.100000000000E+03  0.101096512581E+06  0.101373487380E+06
  0.110000000000E+03  0.101004694750E+06  0.101465305184E+06
  0.120000000000E+03  0.100893558108E+06  0.101576441774E+06
  0.130000000000E+03  0.100782543741E+06  0.101687456070E+06
  0.140000000000E+03  0.100671651514E+06  0.101798348206E+06
  0.150000000000E+03  0.100560881293E+06  0.101909118317E+06
  0.160000000000E+03  0.100450232943E+06  0.102019766537E+06
  0.170000000000E+03  0.100339706331E+06  0.102130293000E+06
  0.180000000000E+03  0.100229301323E+06  0.102240697840E+06
  0.190000000000E+03  0.100119017784E+06  0.102350981191E+06
  0.200000000000E+03  0.100008855581E+06  0.102461143188E+06
  0.210000000000E+03  0.998988145817E+05  0.102571183962E+06
  0.220000000000E+03  0.997888946513E+05  0.102681103648E+06
  0.230000000000E+03  0.996790956571E+05  0.102790902380E+06
  0.240000000000E+03  0.995694174660E+05  0.102900580290E+06
  0.250000000000E+03  0.994598599453E+05  0.103010137511E+06
  0.260000000000E+03  0.993504229620E+05  0.103119574177E+06
  0.270000000000E+03  0.992411063837E+05  0.103228890419E+06
  0.280000000000E+03  0.991319100779E+05  0.103338086370E+06
  0.290000000000E+03  0.990228339122E+05  0.103447162164E+06
  0.300000000000E+03  0.989138777545E+05  0.103556117932E+06
  0.310000000000E+03  0.988760795408E+05  0.103593916006E+06
  0.320000000000E+03  0.988560564763E+05  0.103613938995E+06
  0.330000000000E+03  0.988360374662E+05  0.103633957930E+06
  0.340000000000E+03  0.988160225098E+05  0.103653972811E+06
  0.350000000000E+03  0.987960116062E+05  0.103673983638E+06
  0.360000000000E+03  0.987760047546E+05  0.103693990412E+06
  0.370000000000E+03  0.987560019542E+05  0.103713993135E+06
  0.380000000000E+03  0.987360032041E+05  0.103733991806E+06
  0.390000000000E+03  0.987160085036E+05  0.103753986428E+06
  0.400000000000E+03  0.986960178518E+05  0.103773977000E+06
  0.410000000000E+03  0.986760312480E+05  0.103793963524E+06
  0.420000000000E+03  0.986560486912E+05  0.103813946000E+06
  0.430000000000E+03  0.986360701806E+05  0.103833924429E+06
  0.440000000000E+03  0.986160957156E+05  0.103853898812E+06
  0.450000000000E+03  0.985961252951E+05  0.103873869150E+06
  0.460000000000E+03  0.985761589185E+05  0.103893835443E+06
  0.470000000000E+03  0.985561965848E+05  0.103913797693E+06
  0.480000000000E+03  0.985362382933E+05  0.103933755900E+06
  0.490000000000E+03  0.985162840432E+05  0.103953710066E+06
  0.500000000000E+03  0.984963338336E+05  0.103973660190E+06
  0.510000000000E+03  0.984763876637E+05  0.103993606274E+06
  0.520000000000E+03  0.984564455328E+05  0.104013548318E+06
  0.530000000000E+03  0.984365074399E+05  0.104033486323E+06
  0.540000000000E+03  0.984165733843E+05  0.104053420291E+06
  0.550000000000E+03  0.983966433651E+05  0.104073350222E+06
  0.560000000000E+03  0.983767173815E+05  0.104093276117E+06
  0.570000000000E+03  0.983567954328E+05  0.104113197976E+06
  0.580000000000E+03  0.983368775180E+05  0.104133115800E+06
  0.590000000000E+03  0.983169636365E+05  0.104153029591E+06
  0.600000000000E+03  0.982970537873E+05  0.104172939349E+06
  0.610000000000E+03  0.982552400294E+05  0.104214752913E+06
  0.620000000000E+03  0.982079701642E+05  0.104262022556E+06
  0.630000000000E+03  0.981607230383E+05  0.104309269456E+06
  0.640000000000E+03  0.981134986408E+05  0.104356493625E+06
  0.650000000000E+03  0.980662969607E+05  0.104403695073E+06
  0.660000000000E+03  0.980191179871E+05  0.104450873812E+06
  0.670000000000E+03  0.979719617091E+05  0.104498029851E+06
  0.680000000000E+03  0.979248281157E+05  0.104545163203E+06
  0.690000000000E+03  0.978777171961E+05  0.104592273878E+06
  0.700000000000E+03  0.978306289394E+05  0.104639361886E+06
  0.710000000000E+03  0.977835633346E+05  0.104686427240E+06
  0.720000000000E+03  0.977365203709E+05  0.104733469949E+06
  0.730000000000E+03  0.976895000373E+05  0.104780490025E+06
  0.740000000000E+03  0.976425023230E+05  0.104827487478E+06
  0.750000000000E+03  0.975955272172E+05  0.104874462320E+06
  0.760000000000E+03  0.975485747088E+05  0.104921414561E+06
  0.770000000000E+03  0.975016447871E+05  0.104968344213E+06
  0.780000000000E+03  0.974547374412E+05  0.105015251285E+06
  0.790000000000E+03  0.974078526602E+05  0.105062135790E+06
  0.800000000000E+03  0.973609904334E+05  0.105108997737E+06
  0.810000000000E+03  0.973141507497E+05  0.105155837138E+06
  0.820000000000E+03  0.972673335984E+05  0.105202654003E+06
  0.830000000000E+03  0.972205389687E+05  0.105249448344E+06
  0.840000000000E+03  0.971737668497E+05  0.105296220171E+06
  0.850000000000E+03  0.971270172307E+05  0.105342969495E+06
  0.860000000000E+03  0.970802901006E+05  0.105389696327E+06
  0.870000000000E+03  0.970335854489E+05  0.105436400677E+06
  0.880000000000E+03  0.969869032645E+05  0.105483082557E+06
  0.890000000000E+03  0.969402435368E+05  0.105529741978E+06
  0.900000000000E+03  0.968936062550E+05  0.105576378949E+06
